REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 25-64,AGE 25-49,AGE 50-64,AGE 65
HHS Regions,Region 1,1997,40,44,7053,32,0.49853479,0.623848008,15,22,7,,,0
HHS Regions,Region 2,1997,40,3,780,7,0.374963154,0.384615385,0,0,3,,,0
HHS Regions,Region 3,1997,40,32,2385,16,1.35427537,1.341719078,6,15,7,,,4
HHS Regions,Region 4,1997,40,46,10222,29,0.400338225,0.450009783,12,11,23,,,0
HHS Regions,Region 5,1997,40,89,9875,49,1.229255838,0.901265823,31,30,24,,,4
HHS Regions,Region 6,1997,40,5,669,4,1.018983906,0.747384155,2,2,1,,,0
HHS Regions,Region 7,1997,40,27,2342,14,0.871790835,1.152860803,0,18,4,,,5
HHS Regions,Region 8,1997,40,5,1183,5,0.51601676,0.422654269,2,3,0,,,0
HHS Regions,Region 9,1997,40,243,10758,23,1.807606812,2.258784161,80,74,76,,,13
HHS Regions,Region 10,1997,40,76,1575,13,4.743517639,4.825396825,31,30,12,,,3
HHS Regions,Region 1,1997,41,57,6987,29,0.642668742,0.815800773,14,29,14,,,0
HHS Regions,Region 2,1997,41,2,872,7,0.31566566,0.229357798,0,0,2,,,0
HHS Regions,Region 3,1997,41,42,2740,17,1.479782948,1.532846715,4,16,19,,,3
HHS Regions,Region 4,1997,41,44,11310,31,1.423886407,0.389036251,21,14,7,,,2
HHS Regions,Region 5,1997,41,104,9618,48,1.136003861,1.081305885,36,41,23,,,4
HHS Regions,Region 6,1997,41,6,684,4,1.449319247,0.877192982,2,2,2,,,0
HHS Regions,Region 7,1997,41,15,2315,14,0.449154096,0.647948164,0,13,0,,,2
HHS Regions,Region 8,1997,41,9,1254,6,0.503080101,0.717703349,0,8,1,,,0
HHS Regions,Region 9,1997,41,274,10677,23,1.394781829,2.566263932,103,84,76,,,11
HHS Regions,Region 10,1997,41,62,1566,12,3.986372944,3.959131545,19,35,7,,,1
HHS Regions,Region 1,1997,42,85,6934,40,2.899079542,1.225843669,35,35,15,,,0
HHS Regions,Region 2,1997,42,1,786,7,0.310563978,0.127226463,0,0,0,,,1
HHS Regions,Region 3,1997,42,46,2103,15,2.635975152,2.187351403,3,24,17,,,2
HHS Regions,Region 4,1997,42,54,11550,33,0.966720946,0.467532468,19,18,15,,,2
HHS Regions,Region 5,1997,42,186,17473,64,1.023581122,1.064499514,66,75,29,,,16
HHS Regions,Region 6,1997,42,6,667,4,1.462298225,0.899550225,2,2,2,,,0
HHS Regions,Region 7,1997,42,13,2140,14,0.346781117,0.607476636,0,8,3,,,2
HHS Regions,Region 8,1997,42,3,1216,6,0.176081317,0.246710526,0,2,1,,,0
HHS Regions,Region 9,1997,42,241,9978,23,2.072688517,2.41531369,86,79,67,,,9
HHS Regions,Region 10,1997,42,46,2114,13,2.240823395,2.175969726,17,23,4,,,2
HHS Regions,Region 1,1997,43,125,7708,44,4.812498329,1.621691749,41,59,25,,,0
HHS Regions,Region 2,1997,43,1,447,5,0.325144446,0.223713647,0,0,1,,,0
HHS Regions,Region 3,1997,43,32,1885,14,1.983990396,1.697612732,9,12,10,,,1
HHS Regions,Region 4,1997,43,17,10028,27,0.574446037,0.169525329,4,7,5,,,1
HHS Regions,Region 5,1997,43,222,22164,66,0.8061768,1.001624256,73,65,68,,,16
HHS Regions,Region 6,1997,43,7,661,4,1.647016973,1.059001513,2,2,2,,,1
HHS Regions,Region 7,1997,43,16,2325,14,0.647387914,0.688172043,2,8,5,,,1
HHS Regions,Region 8,1997,43,8,1916,9,0.796463257,0.417536534,0,4,1,,,3
HHS Regions,Region 9,1997,43,214,8105,19,1.316907738,2.640345466,53,76,73,,,12
HHS Regions,Region 10,1997,43,11,1805,11,0.609286727,0.609418283,4,3,3,,,1
HHS Regions,Region 1,1997,44,73,9357,44,1.371357965,0.780164583,22,34,14,,,3
HHS Regions,Region 2,1997,44,14,485,6,3.758064879,2.886597938,2,5,5,,,2
HHS Regions,Region 3,1997,44,22,2094,13,0.750463766,1.050620821,2,16,4,,,0
HHS Regions,Region 4,1997,44,43,9067,26,1.224553888,0.47424727,10,15,12,,,6
HHS Regions,Region 5,1997,44,272,20153,65,1.096165343,1.349674986,72,132,53,,,15
HHS Regions,Region 6,1997,44,11,649,4,2.460724411,1.694915254,4,2,3,,,2
